"Table 19. Tobacco Product Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Tobacco products include cigarettes, smokeless tobacco (i.e., snuff, dip, chewing tobacco, or snus), cigars, or pipe tobacco. These estimates of tobacco product use do not include nicotine vaping.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
42,Oklahoma,24.54%,21.82%,27.48%,2.52%,1.62%,3.88%,23.98%,19.67%,28.89%,27.55%,24.26%,31.10%,27.02%,24.02%,30.25%
43,Oregon,18.57%,16.03%,21.41%,2.62%,1.69%,4.03%,20.28%,16.41%,24.79%,19.97%,17.01%,23.31%,20.01%,17.27%,23.07%
44,Pennsylvania,20.16%,18.48%,21.95%,1.91%,1.37%,2.65%,14.48%,12.31%,16.96%,22.93%,20.90%,25.10%,21.84%,20.02%,23.77%
45,Rhode Island,17.11%,14.67%,19.87%,1.88%,1.21%,2.89%,14.91%,11.61%,18.95%,18.93%,16.05%,22.20%,18.37%,15.74%,21.32%
46,South Carolina,20.60%,17.93%,23.55%,1.94%,1.28%,2.95%,15.92%,12.71%,19.76%,23.41%,20.22%,26.93%,22.44%,19.52%,25.66%
47,South Dakota,20.69%,18.06%,23.60%,2.00%,1.31%,3.02%,18.93%,15.25%,23.26%,23.42%,20.22%,26.95%,22.78%,19.87%,25.97%
48,Tennessee,23.31%,20.77%,26.05%,2.30%,1.55%,3.39%,17.38%,14.22%,21.08%,26.63%,23.58%,29.92%,25.41%,22.64%,28.39%
49,Texas,18.42%,17.07%,19.84%,1.78%,1.31%,2.43%,14.71%,12.76%,16.90%,21.38%,19.70%,23.17%,20.39%,18.89%,21.97%
50,Utah,10.00%,8.53%,11.68%,0.88%,0.48%,1.59%,9.52%,7.21%,12.46%,11.68%,9.85%,13.78%,11.26%,9.61%,13.16%
51,Vermont,17.80%,15.47%,20.41%,1.50%,0.98%,2.30%,18.32%,14.71%,22.58%,19.24%,16.51%,22.29%,19.11%,16.60%,21.91%
52,Virginia,17.48%,15.85%,19.25%,1.79%,1.28%,2.51%,15.11%,12.67%,17.92%,19.64%,17.66%,21.79%,19.04%,17.25%,20.97%
53,Washington,15.03%,13.00%,17.33%,1.59%,1.03%,2.44%,14.21%,11.28%,17.76%,16.60%,14.20%,19.32%,16.31%,14.09%,18.80%
54,West Virginia,30.37%,27.28%,33.66%,2.96%,1.93%,4.49%,20.81%,17.01%,25.20%,34.63%,30.92%,38.53%,32.87%,29.52%,36.41%
55,Wisconsin,18.58%,16.32%,21.08%,1.76%,1.17%,2.63%,17.95%,14.86%,21.51%,20.61%,17.89%,23.62%,20.24%,17.78%,22.96%
56,Wyoming,22.99%,20.00%,26.29%,2.34%,1.49%,3.64%,25.54%,20.59%,31.21%,25.19%,21.66%,29.08%,25.23%,21.93%,28.85%
