"Table 3. Marijuana Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
NOTE: These estimates of marijuana use include marijuana vaping.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
43,Oregon,22.33%,19.63%,25.29%,7.76%,5.84%,10.24%,33.27%,28.44%,38.49%,22.29%,19.24%,25.67%,23.65%,20.75%,26.82%
44,Pennsylvania,14.33%,12.89%,15.91%,6.37%,5.10%,7.92%,23.72%,20.66%,27.08%,13.77%,12.14%,15.58%,15.07%,13.52%,16.76%
45,Rhode Island,18.32%,15.87%,21.05%,7.24%,5.43%,9.58%,33.35%,28.13%,39.03%,16.95%,14.30%,19.98%,19.23%,16.62%,22.15%
46,South Carolina,11.89%,9.85%,14.27%,5.57%,4.06%,7.60%,21.56%,17.39%,26.42%,11.16%,8.97%,13.82%,12.51%,10.32%,15.09%
47,South Dakota,11.85%,9.81%,14.24%,4.82%,3.40%,6.81%,19.79%,15.70%,24.63%,11.45%,9.18%,14.19%,12.63%,10.42%,15.23%
48,Tennessee,12.92%,11.07%,15.04%,5.73%,4.24%,7.71%,21.19%,17.33%,25.65%,12.50%,10.45%,14.89%,13.64%,11.64%,15.93%
49,Texas,10.29%,9.32%,11.36%,4.69%,3.68%,5.97%,18.40%,15.88%,21.21%,9.67%,8.55%,10.92%,10.96%,9.89%,12.12%
50,Utah,10.31%,8.88%,11.93%,4.02%,2.89%,5.56%,16.18%,12.93%,20.06%,10.08%,8.41%,12.03%,11.18%,9.58%,12.99%
51,Vermont,25.33%,22.40%,28.49%,8.55%,6.25%,11.59%,42.05%,36.15%,48.17%,24.27%,20.97%,27.90%,26.67%,23.54%,30.06%
52,Virginia,13.27%,11.89%,14.79%,6.55%,5.27%,8.11%,24.90%,21.51%,28.64%,12.25%,10.72%,13.97%,13.94%,12.44%,15.58%
53,Washington,20.70%,18.24%,23.41%,7.14%,5.50%,9.22%,29.46%,25.01%,34.35%,20.93%,18.11%,24.07%,21.99%,19.32%,24.91%
54,West Virginia,12.76%,10.70%,15.17%,6.09%,4.49%,8.21%,21.40%,17.29%,26.19%,12.20%,9.94%,14.89%,13.37%,11.16%,15.95%
55,Wisconsin,14.04%,12.15%,16.17%,5.89%,4.43%,7.79%,25.77%,21.80%,30.18%,13.13%,11.06%,15.50%,14.84%,12.81%,17.13%
56,Wyoming,10.80%,8.66%,13.39%,4.68%,3.23%,6.73%,20.23%,15.87%,25.43%,10.11%,7.77%,13.07%,11.47%,9.15%,14.28%
