"Table 17. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
46,South Carolina,44.64%,41.32%,48.01%,43.56%,38.00%,49.28%,39.05%,34.71%,43.57%,45.59%,41.72%,49.52%,44.75%,41.25%,48.29%
47,South Dakota,38.59%,35.45%,41.83%,37.41%,32.64%,42.44%,32.22%,28.25%,36.47%,39.80%,36.08%,43.64%,38.72%,35.39%,42.16%
48,Tennessee,43.83%,40.67%,47.04%,40.70%,35.98%,45.60%,35.64%,31.54%,39.96%,45.43%,41.76%,49.15%,44.14%,40.81%,47.53%
49,Texas,46.70%,44.96%,48.46%,43.19%,40.13%,46.31%,40.40%,37.65%,43.20%,48.30%,46.18%,50.41%,47.11%,45.25%,48.99%
50,Utah,48.14%,45.62%,50.67%,49.17%,44.47%,53.87%,39.33%,34.91%,43.93%,50.01%,47.00%,53.01%,48.00%,45.33%,50.67%
51,Vermont,36.76%,33.61%,40.04%,32.88%,28.52%,37.56%,29.62%,25.54%,34.06%,38.24%,34.59%,42.03%,37.07%,33.76%,40.51%
52,Virginia,43.41%,41.25%,45.59%,40.93%,37.65%,44.29%,37.02%,33.78%,40.38%,44.67%,42.10%,47.28%,43.65%,41.34%,45.99%
53,Washington,40.83%,37.91%,43.81%,37.94%,33.67%,42.42%,35.60%,31.61%,39.82%,41.87%,38.47%,45.34%,41.10%,38.02%,44.25%
54,West Virginia,43.51%,40.06%,47.03%,41.48%,36.32%,46.83%,37.21%,32.70%,41.95%,44.64%,40.62%,48.73%,43.70%,40.06%,47.40%
55,Wisconsin,38.74%,35.90%,41.65%,37.79%,33.43%,42.36%,32.77%,29.28%,36.46%,39.79%,36.44%,43.23%,38.83%,35.82%,41.93%
56,Wyoming,40.50%,37.32%,43.75%,36.94%,32.09%,42.08%,37.68%,33.05%,42.56%,41.37%,37.69%,45.16%,40.88%,37.52%,44.32%
