"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
44,Pennsylvania,18.58%,16.82%,20.47%,21.92%,19.04%,25.11%,9.97%,8.28%,11.97%,19.51%,17.44%,21.76%,18.27%,16.41%,20.29%
45,Rhode Island,16.26%,13.85%,19.00%,17.09%,13.83%,20.93%,7.87%,5.92%,10.39%,17.55%,14.73%,20.76%,16.19%,13.67%,19.07%
46,South Carolina,22.61%,19.54%,26.00%,22.84%,18.49%,27.87%,12.72%,10.01%,16.03%,24.06%,20.54%,27.97%,22.59%,19.38%,26.15%
47,South Dakota,18.87%,16.13%,21.96%,18.53%,14.67%,23.13%,9.34%,7.13%,12.16%,20.50%,17.26%,24.18%,18.91%,16.02%,22.19%
48,Tennessee,19.00%,16.41%,21.88%,18.43%,14.99%,22.45%,9.02%,6.94%,11.65%,20.58%,17.53%,24.00%,19.05%,16.31%,22.13%
49,Texas,25.12%,23.55%,26.76%,23.79%,21.20%,26.58%,13.26%,11.45%,15.29%,27.39%,25.47%,29.39%,25.28%,23.58%,27.05%
50,Utah,24.56%,22.23%,27.05%,29.63%,25.24%,34.44%,17.11%,13.89%,20.89%,25.42%,22.59%,28.46%,23.86%,21.38%,26.52%
51,Vermont,11.07%,9.11%,13.38%,14.22%,11.25%,17.82%,5.01%,3.59%,6.95%,11.73%,9.47%,14.44%,10.81%,8.78%,13.24%
52,Virginia,18.72%,16.89%,20.70%,19.09%,16.62%,21.84%,9.16%,7.41%,11.27%,20.16%,17.96%,22.55%,18.68%,16.72%,20.82%
53,Washington,14.88%,12.72%,17.33%,16.91%,13.70%,20.68%,8.54%,6.48%,11.16%,15.56%,13.09%,18.39%,14.69%,12.43%,17.27%
54,West Virginia,17.59%,15.02%,20.50%,21.96%,17.87%,26.67%,9.46%,7.23%,12.29%,18.32%,15.36%,21.71%,17.19%,14.52%,20.25%
55,Wisconsin,15.62%,13.42%,18.10%,19.64%,16.13%,23.71%,7.39%,5.73%,9.48%,16.46%,13.90%,19.39%,15.22%,12.93%,17.83%
56,Wyoming,17.62%,14.88%,20.75%,18.63%,14.62%,23.44%,9.82%,7.33%,13.05%,18.71%,15.56%,22.33%,17.51%,14.64%,20.80%
