"Table 8. Perceptions of Great Risk from Using Cocaine Once a Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
43,Oregon,56.32%,52.95%,59.64%,45.97%,40.69%,51.35%,52.29%,47.40%,57.13%,57.94%,53.93%,61.84%,57.24%,53.60%,60.79%
44,Pennsylvania,67.36%,65.36%,69.31%,49.13%,45.33%,52.93%,59.74%,56.21%,63.17%,70.40%,68.03%,72.67%,69.02%,66.87%,71.09%
45,Rhode Island,61.09%,57.88%,64.21%,43.72%,38.67%,48.90%,54.40%,49.30%,59.40%,63.82%,60.04%,67.43%,62.51%,59.07%,65.83%
46,South Carolina,69.53%,66.51%,72.40%,55.97%,50.28%,61.50%,62.87%,58.05%,67.44%,72.04%,68.43%,75.38%,70.85%,67.59%,73.91%
47,South Dakota,64.45%,61.33%,67.45%,45.02%,39.64%,50.53%,53.74%,48.99%,58.42%,68.71%,64.95%,72.24%,66.59%,63.21%,69.81%
48,Tennessee,68.19%,65.39%,70.87%,48.43%,43.52%,53.37%,57.39%,52.78%,61.87%,72.08%,68.78%,75.17%,70.15%,67.13%,73.00%
49,Texas,69.04%,67.49%,70.55%,50.98%,47.59%,54.36%,61.57%,58.56%,64.50%,72.82%,70.96%,74.59%,71.15%,69.49%,72.76%
50,Utah,65.08%,62.77%,67.33%,51.58%,47.27%,55.87%,59.58%,55.20%,63.81%,68.57%,65.68%,71.32%,66.91%,64.36%,69.38%
51,Vermont,56.92%,53.66%,60.12%,45.46%,40.36%,50.66%,49.89%,44.72%,55.06%,59.06%,55.22%,62.80%,57.82%,54.34%,61.22%
52,Virginia,66.36%,64.24%,68.42%,49.88%,46.36%,53.40%,58.14%,54.34%,61.85%,69.48%,66.96%,71.89%,67.97%,65.66%,70.19%
53,Washington,57.77%,54.82%,60.67%,46.07%,41.43%,50.78%,52.98%,48.38%,57.53%,59.69%,56.18%,63.10%,58.86%,55.69%,61.96%
54,West Virginia,70.09%,67.09%,72.92%,51.61%,46.40%,56.79%,63.18%,58.30%,67.80%,73.00%,69.51%,76.24%,71.75%,68.55%,74.74%
55,Wisconsin,61.90%,58.95%,64.77%,47.60%,42.75%,52.50%,52.85%,48.45%,57.21%,64.93%,61.39%,68.32%,63.29%,60.08%,66.39%
56,Wyoming,64.48%,61.13%,67.70%,50.37%,44.72%,56.02%,55.69%,50.32%,60.92%,67.58%,63.62%,71.30%,65.98%,62.38%,69.42%
