ABBREV,DATA,YEAR,PUFID,URL
PRPL,Person Round Plan,2000,HC-047,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-047
PRPL,Person Round Plan,1999,HC-047,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-047
PRPL,Person Round Plan,1998,HC-047,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-047
PRPL,Person Round Plan,1997,HC-047,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-047
FYC-Supp,Supplemental - FYC Variables (1996-1999),1999,HC-044,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-044
FYC-Supp,Supplemental - FYC Variables (1996-1999),1998,HC-043,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-043
FYC-Supp,Supplemental - FYC Variables (1996-1999),1997,HC-042,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-042
FYC-Supp,Supplemental - FYC Variables (1996-1999),1996,HC-041,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-041
JOBS,Jobs File,2000,HC-040,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-040
FYC,Full-Year Consolidated File,1999,HC-038,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-038
COND,Medical Conditions,1999,HC-037,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-037
PIT,Point-In-Time (1996-2019),2001,HC-034,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-034
CLNK,Linkage: Condition-Event Link,1999,HC-033I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033I
RXLK,Linkage: RX-Event Link,1999,HC-033I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033I
HH,Event File - Home Health,1999,HC-033H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033H
OB,Event File - Office-Based Medical Provider Visits,1999,HC-033G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033G
OP,Event File - Outpatient Visits,1999,HC-033F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033F
ER,Event File - Emergency Room Visits,1999,HC-033E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033E
IP,Event File - Hospital Inpatient Stays,1999,HC-033D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033D
OM,Event File - Other Medical Expenses,1999,HC-033C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033C
DV,Event File - Dental Visits,1999,HC-033B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033B
RX,Event File - Prescribed Medicines,1999,HC-033A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-033A
