ABBREV,DATA,YEAR,PUFID,URL
DV,Event File - Dental Visits,2019,HC-213B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213B
RX,Event File - Prescribed Medicines,2019,HC-213A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-213A
JOBS,Jobs File,2019,HC-211,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-211
FYC,Full-Year Consolidated File,2018,HC-209,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-209
PRPL,Person Round Plan,2018,HC-208,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-208
COND,Medical Conditions,2018,HC-207,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-207
CLNK,Linkage: Condition-Event Link,2018,HC-206I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206I
RXLK,Linkage: RX-Event Link,2018,HC-206I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206I
HH,Event File - Home Health,2018,HC-206H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206H
OB,Event File - Office-Based Medical Provider Visits,2018,HC-206G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206G
OP,Event File - Outpatient Visits,2018,HC-206F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206F
ER,Event File - Emergency Room Visits,2018,HC-206E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206E
IP,Event File - Hospital Inpatient Stays,2018,HC-206D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206D
OM,Event File - Other Medical Expenses,2018,HC-206C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206C
DV,Event File - Dental Visits,2018,HC-206B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206B
RX,Event File - Prescribed Medicines,2018,HC-206A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-206A
PIT,Point-In-Time (1996-2019),2019,HC-205,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-205
JOBS,Jobs File,2018,HC-203,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-203
FYC,Full-Year Consolidated File,2017,HC-201,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-201
PRPL,Person Round Plan,2017,HC-200,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-200
COND,Medical Conditions,2017,HC-199,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-199
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2017,HC-198,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-198
CLNK,Linkage: Condition-Event Link,2017,HC-197I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197I
RXLK,Linkage: RX-Event Link,2017,HC-197I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197I
HH,Event File - Home Health,2017,HC-197H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197H
OB,Event File - Office-Based Medical Provider Visits,2017,HC-197G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197G
OP,Event File - Outpatient Visits,2017,HC-197F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197F
ER,Event File - Emergency Room Visits,2017,HC-197E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197E
IP,Event File - Hospital Inpatient Stays,2017,HC-197D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197D
OM,Event File - Other Medical Expenses,2017,HC-197C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197C
DV,Event File - Dental Visits,2017,HC-197B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197B
RX,Event File - Prescribed Medicines,2017,HC-197A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-197A
PIT,Point-In-Time (1996-2019),2018,HC-196,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-196
JOBS,Jobs File,2017,HC-195,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-195
FYC,Full-Year Consolidated File,2016,HC-192,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-192
PRPL,Person Round Plan,2016,HC-191,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-191
COND,Medical Conditions,2016,HC-190,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-190
FS,"Food Security (2016, 2017, 2020, 2021, 2022)",2016,HC-189,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-189
CLNK,Linkage: Condition-Event Link,2016,HC-188I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188I
RXLK,Linkage: RX-Event Link,2016,HC-188I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188I
HH,Event File - Home Health,2016,HC-188H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188H
OB,Event File - Office-Based Medical Provider Visits,2016,HC-188G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188G
OP,Event File - Outpatient Visits,2016,HC-188F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188F
ER,Event File - Emergency Room Visits,2016,HC-188E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188E
IP,Event File - Hospital Inpatient Stays,2016,HC-188D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188D
OM,Event File - Other Medical Expenses,2016,HC-188C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188C
DV,Event File - Dental Visits,2016,HC-188B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188B
RX,Event File - Prescribed Medicines,2016,HC-188A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-188A
MOS,Medical Organizations Survey (2015-2016),2016,HC-187,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-187
PIT,Point-In-Time (1996-2019),2017,HC-186,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-186
JOBS,Jobs File,2016,HC-185,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-185
MOS,Medical Organizations Survey (2015-2016),2015,HC-182,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-182
FYC,Full-Year Consolidated File,2015,HC-181,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-181
COND,Medical Conditions,2015,HC-180,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-180
PRPL,Person Round Plan,2015,HC-179,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-179
CLNK,Linkage: Condition-Event Link,2015,HC-178I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178I
RXLK,Linkage: RX-Event Link,2015,HC-178I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178I
HH,Event File - Home Health,2015,HC-178H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178H
OB,Event File - Office-Based Medical Provider Visits,2015,HC-178G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178G
OP,Event File - Outpatient Visits,2015,HC-178F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178F
ER,Event File - Emergency Room Visits,2015,HC-178E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178E
IP,Event File - Hospital Inpatient Stays,2015,HC-178D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178D
OM,Event File - Other Medical Expenses,2015,HC-178C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178C
DV,Event File - Dental Visits,2015,HC-178B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178B
RX,Event File - Prescribed Medicines,2015,HC-178A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-178A
PIT,Point-In-Time (1996-2019),2016,HC-177,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-177
JOBS,Jobs File,2015,HC-176,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-176
PSAQ,Preventive Self-Administered Questionnaire (2014),2014,HC-173,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-173
FYC,Full-Year Consolidated File,2014,HC-171,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-171
COND,Medical Conditions,2014,HC-170,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-170
PRPL,Person Round Plan,2014,HC-169,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-169
CLNK,Linkage: Condition-Event Link,2014,HC-168I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168I
RXLK,Linkage: RX-Event Link,2014,HC-168I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168I
HH,Event File - Home Health,2014,HC-168H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168H
OB,Event File - Office-Based Medical Provider Visits,2014,HC-168G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168G
OP,Event File - Outpatient Visits,2014,HC-168F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168F
ER,Event File - Emergency Room Visits,2014,HC-168E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168E
IP,Event File - Hospital Inpatient Stays,2014,HC-168D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168D
OM,Event File - Other Medical Expenses,2014,HC-168C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168C
DV,Event File - Dental Visits,2014,HC-168B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168B
RX,Event File - Prescribed Medicines,2014,HC-168A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-168A
PIT,Point-In-Time (1996-2019),2015,HC-167,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-167
JOBS,Jobs File,2014,HC-166,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-166
FYC,Full-Year Consolidated File,2013,HC-163,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-163
COND,Medical Conditions,2013,HC-162,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-162
PRPL,Person Round Plan,2013,HC-161,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-161
CLNK,Linkage: Condition-Event Link,2013,HC-160I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160I
RXLK,Linkage: RX-Event Link,2013,HC-160I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160I
HH,Event File - Home Health,2013,HC-160H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160H
OB,Event File - Office-Based Medical Provider Visits,2013,HC-160G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160G
OP,Event File - Outpatient Visits,2013,HC-160F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160F
ER,Event File - Emergency Room Visits,2013,HC-160E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160E
IP,Event File - Hospital Inpatient Stays,2013,HC-160D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160D
OM,Event File - Other Medical Expenses,2013,HC-160C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160C
DV,Event File - Dental Visits,2013,HC-160B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160B
RX,Event File - Prescribed Medicines,2013,HC-160A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-160A
PIT,Point-In-Time (1996-2019),2014,HC-159,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-159
JOBS,Jobs File,2013,HC-158,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-158
FYC,Full-Year Consolidated File,2012,HC-155,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-155
COND,Medical Conditions,2012,HC-154,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-154
PRPL,Person Round Plan,2012,HC-153,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-153
CLNK,Linkage: Condition-Event Link,2012,HC-152I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152I
RXLK,Linkage: RX-Event Link,2012,HC-152I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152I
HH,Event File - Home Health,2012,HC-152H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152H
OB,Event File - Office-Based Medical Provider Visits,2012,HC-152G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152G
OP,Event File - Outpatient Visits,2012,HC-152F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152F
ER,Event File - Emergency Room Visits,2012,HC-152E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152E
IP,Event File - Hospital Inpatient Stays,2012,HC-152D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152D
OM,Event File - Other Medical Expenses,2012,HC-152C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152C
DV,Event File - Dental Visits,2012,HC-152B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152B
RX,Event File - Prescribed Medicines,2012,HC-152A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-152A
PIT,Point-In-Time (1996-2019),2013,HC-151,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-151
JOBS,Jobs File,2012,HC-150,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-150
FYC,Full-Year Consolidated File,2011,HC-147,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-147
COND,Medical Conditions,2011,HC-146,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-146
PRPL,Person Round Plan,2011,HC-145,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-145
CLNK,Linkage: Condition-Event Link,2011,HC-144I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144I
RXLK,Linkage: RX-Event Link,2011,HC-144I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144I
HH,Event File - Home Health,2011,HC-144H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144H
OB,Event File - Office-Based Medical Provider Visits,2011,HC-144G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144G
OP,Event File - Outpatient Visits,2011,HC-144F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144F
ER,Event File - Emergency Room Visits,2011,HC-144E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144E
IP,Event File - Hospital Inpatient Stays,2011,HC-144D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144D
OM,Event File - Other Medical Expenses,2011,HC-144C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144C
DV,Event File - Dental Visits,2011,HC-144B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144B
RX,Event File - Prescribed Medicines,2011,HC-144A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-144A
PIT,Point-In-Time (1996-2019),2012,HC-143,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-143
JOBS,Jobs File,2011,HC-142,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-142
FYC,Full-Year Consolidated File,2010,HC-138,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-138
COND,Medical Conditions,2010,HC-137,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-137
PRPL,Person Round Plan,2010,HC-136,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-136
CLNK,Linkage: Condition-Event Link,2010,HC-135I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135I
RXLK,Linkage: RX-Event Link,2010,HC-135I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135I
HH,Event File - Home Health,2010,HC-135H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135H
OB,Event File - Office-Based Medical Provider Visits,2010,HC-135G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135G
OP,Event File - Outpatient Visits,2010,HC-135F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135F
ER,Event File - Emergency Room Visits,2010,HC-135E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135E
IP,Event File - Hospital Inpatient Stays,2010,HC-135D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135D
OM,Event File - Other Medical Expenses,2010,HC-135C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135C
DV,Event File - Dental Visits,2010,HC-135B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135B
RX,Event File - Prescribed Medicines,2010,HC-135A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-135A
PIT,Point-In-Time (1996-2019),2011,HC-134,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-134
JOBS,Jobs File,2010,HC-133,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-133
FYC,Full-Year Consolidated File,2009,HC-129,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-129
COND,Medical Conditions,2009,HC-128,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-128
PRPL,Person Round Plan,2009,HC-127,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-127
CLNK,Linkage: Condition-Event Link,2009,HC-126I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126I
RXLK,Linkage: RX-Event Link,2009,HC-126I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126I
HH,Event File - Home Health,2009,HC-126H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126H
OB,Event File - Office-Based Medical Provider Visits,2009,HC-126G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126G
OP,Event File - Outpatient Visits,2009,HC-126F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126F
ER,Event File - Emergency Room Visits,2009,HC-126E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126E
IP,Event File - Hospital Inpatient Stays,2009,HC-126D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126D
OM,Event File - Other Medical Expenses,2009,HC-126C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126C
DV,Event File - Dental Visits,2009,HC-126B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126B
RX,Event File - Prescribed Medicines,2009,HC-126A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-126A
PIT,Point-In-Time (1996-2019),2010,HC-125,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-125
JOBS,Jobs File,2009,HC-124,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-124
FYC,Full-Year Consolidated File,2008,HC-121,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-121
COND,Medical Conditions,2008,HC-120,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-120
PRPL,Person Round Plan,2008,HC-119,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-119
CLNK,Linkage: Condition-Event Link,2008,HC-118I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118I
RXLK,Linkage: RX-Event Link,2008,HC-118I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118I
HH,Event File - Home Health,2008,HC-118H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118H
OB,Event File - Office-Based Medical Provider Visits,2008,HC-118G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118G
OP,Event File - Outpatient Visits,2008,HC-118F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118F
ER,Event File - Emergency Room Visits,2008,HC-118E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118E
IP,Event File - Hospital Inpatient Stays,2008,HC-118D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118D
OM,Event File - Other Medical Expenses,2008,HC-118C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118C
DV,Event File - Dental Visits,2008,HC-118B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118B
RX,Event File - Prescribed Medicines,2008,HC-118A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-118A
PIT,Point-In-Time (1996-2019),2009,HC-117,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-117
JOBS,Jobs File,2008,HC-116,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-116
FYC,Full-Year Consolidated File,2007,HC-113,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-113
COND,Medical Conditions,2007,HC-112,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-112
PRPL,Person Round Plan,2007,HC-111,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-111
CLNK,Linkage: Condition-Event Link,2007,HC-110I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-110I
RXLK,Linkage: RX-Event Link,2007,HC-110I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-110I
HH,Event File - Home Health,2007,HC-110H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-110H
OB,Event File - Office-Based Medical Provider Visits,2007,HC-110G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-110G
