"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2024 AS)","2024-Jan-03 10:01 ± < 00:01","0.06212","0.06199","7.39","7.39","25.2","24 m -   54 m","0"
"(2024 AA3)","2024-Jan-03 13:49 ± < 00:01","0.03481","0.03451","10.74","10.73","25.8","19 m -   42 m","0"
"(2023 XX12)","2024-Jan-04 15:37 ± < 00:01","0.05678","0.05665","6.91","6.91","24.7","31 m -   69 m","0"
"(2024 AD)","2024-Jan-04 18:15 ± < 00:01","0.00162","0.00162","9.90","9.73","28.8","4.7 m -   11 m","0"
"(2024 AB2)","2024-Jan-04 21:18 ±    00:02","0.00497","0.00496","7.00","6.93","26.8","11 m -   26 m","0"
"(2023 YX1)","2024-Jan-06 13:15 ± < 00:01","0.02592","0.02578","14.31","14.30","24.9","28 m -   63 m","0"
"(2024 AH1)","2024-Jan-06 14:41 ± < 00:01","0.02300","0.02296","9.65","9.64","25.8","18 m -   40 m","0"
"(2024 AV3)","2024-Jan-06 20:27 ±    00:02","0.03125","0.03080","13.82","13.82","25.8","19 m -   41 m","0"
"(2024 AC)","2024-Jan-06 22:50 ± < 00:01","0.01547","0.01547","6.79","6.76","25.5","21 m -   47 m","0"
"(2023 YV1)","2024-Jan-07 02:19 ± < 00:01","0.05648","0.05621","8.12","8.11","23.7","49 m -  110 m","0"
"(2024 AL2)","2024-Jan-07 09:32 ± < 00:01","0.01000","0.00997","6.65","6.61","27.4","8.9 m -   20 m","0"
"(2024 AM)","2024-Jan-07 12:20 ± < 00:01","0.00808","0.00808","9.02","8.99","27.8","7.2 m -   16 m","0"
"(2024 AW)","2024-Jan-07 13:36 ± < 00:01","0.02861","0.02852","8.50","8.49","25.5","21 m -   47 m","0"
"(2019 PJ)","2024-Jan-07 15:55 ± < 00:01","0.02486","0.02486","14.40","14.39","23.8","47 m -  100 m","0"
"(2024 BM1)","2024-Jan-08 00:16 ± < 00:01","0.03649","0.03607","7.31","7.30","26.0","16 m -   37 m","0"
"(2024 AC3)","2024-Jan-08 01:13 ± < 00:01","0.01044","0.01039","21.50","21.49","25.3","24 m -   53 m","0"
"(2018 WA2)","2024-Jan-08 03:35 ± < 00:01","0.08309","0.08309","9.55","9.55","22.6","81 m -  180 m","0"
"(2024 AX3)","2024-Jan-08 04:48 ±    00:14","0.01233","0.01190","5.51","5.47","27.7","7.8 m -   17 m","0"
"(2024 AD2)","2024-Jan-08 10:58 ± < 00:01","0.03229","0.03202","7.27","7.26","26.4","14 m -   31 m","0"
"(2023 UO9)","2024-Jan-08 19:42 ± < 00:01","0.06725","0.06723","4.78","4.77","22.3","92 m -  210 m","0"
"(2024 BU)","2024-Jan-09 00:21 ±    00:06","0.01831","0.01820","7.03","7.01","28.3","5.8 m -   13 m","0"
"(2024 BE4)","2024-Jan-09 03:14 ± < 00:01","0.04747","0.04685","7.61","7.61","26.4","14 m -   31 m","0"
"(2023 XN13)","2024-Jan-09 06:22 ±    00:07","0.04033","0.04017","1.44","1.39","28.2","6.2 m -   14 m","0"
"(2022 YS5)","2024-Jan-09 07:08 ± < 00:01","0.05780","0.05780","5.90","5.89","24.8","29 m -   64 m","0"
"(2024 AS1)","2024-Jan-09 18:12 ± < 00:01","0.00388","0.00387","16.79","16.74","27.3","9.1 m -   20 m","0"
"(2024 BQ)","2024-Jan-10 00:24 ±    00:13","0.01501","0.01488","12.72","12.71","24.9","28 m -   63 m","0"
"(2024 AC4)","2024-Jan-10 00:50 ± < 00:01","0.01625","0.01611","8.99","8.97","27.3","9.3 m -   21 m","0"
"613986 (2008 JG)","2024-Jan-10 01:09 ± < 00:01","0.08964","0.08964","7.79","7.79","20.8","180 m -  410 m","0"
"(2024 AF4)","2024-Jan-10 04:38 ±    00:02","0.04750","0.04727","6.32","6.31","26.0","17 m -   38 m","0"
"(2023 XT14)","2024-Jan-10 12:02 ± < 00:01","0.03113","0.03098","6.37","6.36","25.7","20 m -   44 m","0"
"(2024 BA)","2024-Jan-10 12:23 ±    01:03","0.00972","0.00960","12.50","12.47","26.0","17 m -   38 m","0"
"(2024 AU1)","2024-Jan-10 14:07 ±    00:02","0.04693","0.04647","18.15","18.14","24.2","39 m -   86 m","0"
